year,population,area
1783,294,
1825,675,
1845,1326,
1855,2945,
1861,3780,
1865,4224,4.44
1866,4815,
1867,5057,
1868,5237,
1869,6087,
1870,6780,
1870,6780,
1871,7500,
1872,8149,
1873,8132,
1874,10028,
1875,11000,
1876,11330,
1877,11177,
1878,11471,
1879,12060,
1880,12623,
1881,12479,
1882,12684,
1883,13169,
1884,13615,
1885,14200,
1886,14155,
1887,14782,
1888,15279,
1889,15835,
1890,16513,
1891,16873,
1892,17752,
1893,18395,
1894,19622,
1895,22757,
1896,24337,
1897,25000,
1898,25907,
1899,27525,
1900,31738,
1901,32295,
1902,32823,
1903,32643,
1904,33334,
1905,35772,
1906,34626,
1907,36204,
1908,40640,
1909,41875,
1910,43173,
1911,43920,
1912,45276,
1913,47501,
1914,46586,
1915,47611,
1916,45980,
1917,45357,
1918,44364,
1919,47706,
1920,48431,
1921,50020,
1922,48513,
1923,56739,
1924,112822,42.94
1925,112657,
1931,127044,
1938,132894,
1939,134000,
1945,107735,
1946,128290,
1950,175496,
1951,175496,62,65
1953,187321,
1954,193435,
1955,199907,
1958,200330,
1960,269926,97.53
1961,275300,
1962,279200,
1963,282500,
1964,285200,
1965,286044,
1966,287700,
1967,290700,
1968,293900,97.76
1969,297200,
1970,305000,
1971,306018,
1972,308700,
1973,318800,
1974,340260,
1975,343723,
1976,348900,
1977,350400,
1978,349700,155.13
1979,351300,
1980,355117,
1981,363523,
1982,366101,
1983,361335,
1984,363270,
1985,363310,
1986,367298,
1987,368621,
1988,366793,
1989,367041,
1990,366798,
1991,366882,
1992,359887,
1993,359408,
1994,355056,
1995,351521,
1996,350974,
1997,348974,
1998,345934,
1999,333244,
2000,330625,
2001,328103,
2002,325045,
2003,322285,
2004,319904,
2005,317220,
2006,314500,
2007,312201,
2008,309621,
2009,308548,
2010,311421,
2011,309304,164.7
2012,307233,
